state,office,person,party,start_date,end_date,notes,sources
Gujarat,cm,Jivraj Narayan Mehta,Indian National Congress,1960-05-01,1963-09-19,First Chief Minister of Gujarat,S2
Gujarat,governor,Mehdi Nawaz Jung,,1960-05-01,1965-08-01,First Governor of Gujarat,S4
Gujarat,cm,Balwantrai Mehta,Indian National Congress,1963-09-19,1965-09-19,Died in office,S2
Gujarat,cm,Hitendra K Desai,Indian National Congress,1965-09-19,1971-05-12,,S2
Gujarat,presidents_rule,,,1971-05-13,1972-03-17,Loss of majority,S1
Gujarat,cm,Ghanshyam Oza,Indian National Congress,1972-03-17,1973-07-17,,S2
Gujarat,cm,Chimanbhai Patel,Indian National Congress,1973-07-17,1974-02-09,Resigned during Nav Nirman movement,S2
Gujarat,presidents_rule,,,1974-02-09,1975-06-18,Nav Nirman movement agitation,S1
Gujarat,cm,Babubhai J. Patel,Indian National Congress (O),1975-06-18,1976-03-12,First non-Congress government,S2
Gujarat,presidents_rule,,,1976-03-12,1976-12-24,,S1
Gujarat,cm,Madhav Singh Solanki,Indian National Congress,1976-12-24,1977-04-11,,S2
Gujarat,cm,Babubhai J. Patel,Janata Party,1977-04-11,1980-02-17,,S2
Gujarat,presidents_rule,,,1980-02-17,1980-06-07,,S1
Gujarat,cm,Madhav Singh Solanki,Indian National Congress,1980-06-07,1985-07-06,,S2
Gujarat,cm,Amarsinh Chaudhary,Indian National Congress,1985-07-06,1989-12-10,,S2
Gujarat,cm,Madhav Singh Solanki,Indian National Congress,1989-12-10,1990-03-04,,S2
Gujarat,cm,Chimanbhai Patel,Janata Dal,1990-03-04,1994-02-17,Died in office,S2
Gujarat,cm,Chhabildas Mehta,Indian National Congress,1994-02-17,1995-03-14,,S2
Gujarat,cm,Keshubhai Patel,Bharatiya Janata Party,1995-03-14,1995-10-21,,S2
Gujarat,cm,Suresh Mehta,Bharatiya Janata Party,1995-10-21,1996-09-19,,S2
Gujarat,presidents_rule,,,1996-09-19,1996-10-23,,S1
Gujarat,cm,Shankersinh Vaghela,Rashtriya Janata Party,1996-10-23,1997-10-27,,S2
Gujarat,cm,Dilip Parikh,Rashtriya Janata Party,1997-10-27,1998-03-04,,S2
Gujarat,cm,Keshubhai Patel,Bharatiya Janata Party,1998-03-04,2001-10-07,,S2
Gujarat,cm,Narendra Modi,Bharatiya Janata Party,2001-10-07,2014-05-22,,S2
Gujarat,cm,Anandiben Patel,Bharatiya Janata Party,2014-05-22,2016-08-07,First female Chief Minister of Gujarat,S2
Gujarat,cm,Vijay Rupani,Bharatiya Janata Party,2016-08-07,2021-09-13,,S2
Gujarat,governor,Acharya Devvrat,,2019-07-22,,,S4
