id,name,unit,category,methodology
population,Total population,persons,Demography,"Total enumerated population per the decadal Census of India; intercensal years use official projections where published."
sex-ratio,Sex ratio,females per 1000 males,Demography,"Number of females per 1,000 males in the enumerated population, per the Census of India."
urban-population-share,Urban population share,%,Demography,"Share of population living in areas classified urban by the Census of India."
literacy-rate,Literacy rate,%,Education,"Share of persons aged 7 and above able to read and write with understanding, per Census of India / NSO literacy surveys."
ger-secondary,Gross enrolment ratio (secondary),%,Education,"Enrolment at the NEP 2020 Secondary stage (Classes IX to XII) as a share of the corresponding age-group population, total of boys and girls, per UDISE+ (Ministry of Education)."
pupil-teacher-ratio,Pupil-teacher ratio (elementary),pupils per teacher,Education,"Enrolled pupils per teacher at the elementary stage, per UDISE+."
gsdp-current,Gross State Domestic Product,₹ crore,Economy,"GSDP at current prices as published by MoSPI / state economic surveys. Base-year revisions break comparability across series; note the base year."
per-capita-income,Per capita income,₹,Economy,"Per capita Net State Domestic Product at current prices, per MoSPI."
fiscal-deficit-gsdp,Fiscal deficit,% of GSDP,Economy,"Gross fiscal deficit as a share of GSDP, per RBI's annual State Finances: A Study of Budgets."
unemployment-rate,Unemployment rate,%,Economy,"Unemployment rate (usual status) for persons aged 15+, per the Periodic Labour Force Survey (NSO)."
infant-mortality-rate,Infant mortality rate,per 1000 live births,Health,"Infant deaths per 1,000 live births, per the Sample Registration System (Registrar General of India)."
life-expectancy,Life expectancy at birth,years,Health,"Expectation of life at birth, per SRS abridged life tables."
hospital-beds,Government hospital beds,per 100000 population,Health,"Beds in government hospitals per lakh population, per the National Health Profile (CBHI)."
household-toilet-coverage,Household toilet coverage,%,Health,"Share of households with access to a toilet facility, per Census of India / NFHS / Swachh Bharat Mission reporting; sources differ in definition, note which."
household-electricity,Household electrification,%,Infrastructure,"Share of households using electricity as primary lighting source, per Census of India / Saubhagya dashboard."
road-length,Total road length,km,Infrastructure,"Total road length maintained by all agencies, per Basic Road Statistics of India (MoRTH)."
internet-penetration,Internet subscribers,per 100 population,Infrastructure,"Internet subscribers per 100 population, per TRAI performance indicator reports (licensed service area mapped to state)."
foodgrain-production,Foodgrain production,lakh tonnes,Agriculture,"Total foodgrain production, per Agricultural Statistics at a Glance (Ministry of Agriculture)."
irrigated-area-share,Irrigated area,% of net sown area,Agriculture,"Net irrigated area as a share of net sown area, per Land Use Statistics (Ministry of Agriculture)."
annual-rainfall,Annual rainfall,mm,Agriculture,"Actual annual rainfall for the meteorological subdivision, per the India Meteorological Department."
forest-cover,Forest cover,% of geographical area,Environment,"Forest cover as a share of geographical area, per the biennial India State of Forest Report (Forest Survey of India)."
protected-areas,Protected areas,count,Environment,"Number of national parks and wildlife sanctuaries, per the Wildlife Institute of India / ENVIS."
ipc-crime-rate,Cognizable crime rate,per 100000 population,Law and order,"Cognizable IPC crimes registered per lakh population, per NCRB Crime in India. Registration rates vary by state; higher figures can reflect better registration."
crimes-against-women-rate,Crimes against women,per 100000 women,Law and order,"Crimes against women registered per lakh female population, per NCRB Crime in India; the registration caveat applies."
road-accident-deaths,Road accident deaths,persons,Law and order,"Persons killed in road accidents, per MoRTH Road Accidents in India."
total-fertility-rate,Total fertility rate,children per woman,Demography,"Average number of children expected to be born per woman over her reproductive span at current age-specific fertility rates, per SRS Statistical Reports (Registrar General of India)."
unemployment-rate-rural,Unemployment rate (rural),per 1000 persons,Economy,"Unemployed per 1,000 persons in the rural labour force, usual status (adjusted), per NSSO Employment-Unemployment Surveys and PLFS. The survey changed to PLFS from 2017-18; earlier and later figures are not strictly comparable."
unemployment-rate-urban,Unemployment rate (urban),per 1000 persons,Economy,"Unemployed per 1,000 persons in the urban labour force, usual status (adjusted), per NSSO Employment-Unemployment Surveys and PLFS. The survey changed to PLFS from 2017-18; earlier and later figures are not strictly comparable."
steel-capacity-operating,"Steel capacity, operating",ttpa,Industry,"Sum of current capacity over Indian steelmaking furnace units with status operating or operating pre-retirement, across electric arc, basic oxygen, induction and open hearth routes. Snapshot at the named release, not a historical series: the tracker records each unit's current capacity, and start years are unknown for most Indian units, so no year-by-year reconstruction is published. The tracker covers only plants of 0.5 million tonnes per annum and greater, so small plants are outside these totals. Source: Global Energy Monitor, Global Iron and Steel Tracker, June 2026 (V1) release, CC BY 4.0."
steel-capacity-construction,"Steel capacity, under construction",ttpa,Industry,"Sum of current capacity over Indian steelmaking furnace units with status construction. Snapshot at the named release, not a historical series: the tracker records each unit's current capacity, and start years are unknown for most Indian units, so no year-by-year reconstruction is published. The tracker covers only plants of 0.5 million tonnes per annum and greater, so small plants are outside these totals. Source: Global Energy Monitor, Global Iron and Steel Tracker, June 2026 (V1) release, CC BY 4.0."
steel-capacity-announced,"Steel capacity, announced",ttpa,Industry,"Sum of current capacity over Indian steelmaking furnace units with status announced. Announced projects may never be built. Snapshot at the named release, not a historical series: the tracker records each unit's current capacity, and start years are unknown for most Indian units, so no year-by-year reconstruction is published. The tracker covers only plants of 0.5 million tonnes per annum and greater, so small plants are outside these totals. Source: Global Energy Monitor, Global Iron and Steel Tracker, June 2026 (V1) release, CC BY 4.0."
steel-capacity-operating-eaf,"Steel capacity, operating, electric arc route",ttpa,Industry,"Sum of current capacity over Indian electric arc furnace units with status operating or operating pre-retirement. Snapshot at the named release, not a historical series: the tracker records each unit's current capacity, and start years are unknown for most Indian units, so no year-by-year reconstruction is published. The tracker covers only plants of 0.5 million tonnes per annum and greater, so small plants are outside these totals. Source: Global Energy Monitor, Global Iron and Steel Tracker, June 2026 (V1) release, CC BY 4.0."
steel-capacity-operating-bof,"Steel capacity, operating, basic oxygen route",ttpa,Industry,"Sum of current capacity over Indian basic oxygen furnace units with status operating or operating pre-retirement. Snapshot at the named release, not a historical series: the tracker records each unit's current capacity, and start years are unknown for most Indian units, so no year-by-year reconstruction is published. The tracker covers only plants of 0.5 million tonnes per annum and greater, so small plants are outside these totals. Source: Global Energy Monitor, Global Iron and Steel Tracker, June 2026 (V1) release, CC BY 4.0."
steel-capacity-operating-if,"Steel capacity, operating, induction route",ttpa,Industry,"Sum of current capacity over Indian induction furnace units with status operating or operating pre-retirement. Snapshot at the named release, not a historical series: the tracker records each unit's current capacity, and start years are unknown for most Indian units, so no year-by-year reconstruction is published. The tracker covers only plants of 0.5 million tonnes per annum and greater, so small plants are outside these totals. Source: Global Energy Monitor, Global Iron and Steel Tracker, June 2026 (V1) release, CC BY 4.0."
steel-capacity-crude-nominal,"Steel capacity, nominal crude, operating plants",ttpa,Industry,"Sum of nominal crude steel capacity over GEM-tracked Indian plants with status operating or operating pre-retirement, attributed to the state of the plant. Plant-level nominal capacity; the archive's unit-level steel indicators sum individual tracked furnaces instead, so the two measures differ and neither is adjusted toward the other. The tracker covers only plants of 0.5 million tonnes per annum and greater. Snapshot at the named release. Source: Global Energy Monitor, Global Iron and Steel Tracker, June 2026 (V1) release, CC BY 4.0."
cement-capacity-operating,"Cement capacity, operating",mtpa,Industry,"Sum of cement capacity over GEM-tracked Indian cement plants with status operating, attributed to the state of the plant, per the tracker's own inclusion criteria. Snapshot at the named release, not a historical series. Source: Global Energy Monitor, Global Cement and Concrete Tracker, July 2026 (V1) release, CC BY 4.0."
met-coal-mined,"Metallurgical coal mined",ttpa,Industry,"Country-level metallurgical coal production, estimated by GEM by summing mine-level production, using mine capacity where production is unknown. The file's consumption columns are factor-based estimates and are not published here. Snapshot for the release period. Source: Global Energy Monitor, Production and Consumption of Met Coal and Iron Ore by Steel Industry, December 2025 (V1) release, CC BY 4.0."
iron-ore-mined,"Iron ore mined",ttpa,Industry,"Country-level iron ore production, estimated by GEM by summing mine-level production, applying a 45 percent utilization rate to capacity where production is unknown. The file's consumption columns are factor-based estimates and are not published here. Snapshot for the release period. Source: Global Energy Monitor, Production and Consumption of Met Coal and Iron Ore by Steel Industry, December 2025 (V1) release, CC BY 4.0."
pig-iron-produced,"Pig iron produced",ttpa,Industry,"Country-level pig iron production as reported by the World Steel Association, with GEM blast furnace capacity used where WSA production is unknown. The file's consumption columns are factor-based estimates and are not published here. Snapshot for the release period. Source: Global Energy Monitor, Production and Consumption of Met Coal and Iron Ore by Steel Industry, December 2025 (V1) release, CC BY 4.0."
dri-produced,"Direct reduced iron produced",ttpa,Industry,"Country-level DRI production as reported by the World Steel Association, with GEM DRI capacity used where WSA production is unknown. The file's consumption columns are factor-based estimates and are not published here. Snapshot for the release period. Source: Global Energy Monitor, Production and Consumption of Met Coal and Iron Ore by Steel Industry, December 2025 (V1) release, CC BY 4.0."
solar-capacity-operating,"Utility-scale solar capacity, operating","MW","Energy","Cumulative nameplate capacity of utility-scale solar projects, being those of 1 MW and above, with status operating, summed over the projects whose recorded commissioning year is the stated year or earlier. Of 3743 operating Indian projects 3570 carry a commissioning year, being 92,753.8 MW of 99,357.3 MW (93.4 per cent of operating capacity); the undated remainder is absent from every year, so each value understates the fleet by that much. Global Energy Monitor records capacity as either an alternating-current rating or a direct-current peak rating and frequently does not state which: of operating Indian capacity 51.7 per cent is stated MWac, 20.6 per cent MWp/dc and 27.7 per cent unspecified. The ratings are summed as published and are not converted between bases. The series is reconstructed from the fleet operating at the release date, so a project commissioned and later retired does not appear; the source records no retired Indian projects. Records for 2575 Indian projects derive partly or wholly from the TransitionZero Solar Asset Mapper, distributed under CC BY-NC 4.0, and 621 from the wiki-solar.org dataset."
wind-capacity-operating,"Utility-scale wind capacity, operating","MW","Energy","Cumulative nameplate capacity of wind projects with status operating, summed over the projects whose recorded commissioning year is the stated year or earlier. The tracker's global threshold excludes wind farms below 10 MW, so small installations are outside the series entirely. COVERAGE IS PARTIAL: of 679 operating Indian projects only 403 carry a commissioning year, being 27,055.4 MW of 38,937 MW (69.5 per cent of operating capacity). Every value therefore understates installed wind capacity, and the latest value should not be read as India's wind total. The undated share is spread across states rather than concentrated in the earliest ones, so the shape of the series is less affected than its level. Every dated project carries a state, so the state values sum to the national one. The series is reconstructed from the fleet operating at the release date, so a project commissioned and later retired does not appear; the source records no retired Indian projects."
iron-capacity-bf-operating,"Ironmaking capacity, blast furnace route, operating","ttpa","Industry","Sum of current capacity over Indian blast furnaces, which reduce iron ore with coke to make pig iron, with status operating or operating pre-retirement, as at the June 2026 (V1) release. Covers 94 units, every one of which is located by joining the unit workbook to the plant-level workbook on GEM plant ID; the unit sheets carry no state of their own. This measures IRONMAKING and is a different quantity from the steelmaking capacity published from the same tracker, which is neither corrected toward this nor derived from it. No year-by-year series is published even though the workbook records a start year for each unit: the capacity figure is a present-day rating, the oldest operating unit dates from 1919, and every dated operating Indian unit carries a recorded relining, so attributing today's rating to the year a furnace first lit would state a figure the source does not support."
iron-capacity-dri-operating,"Ironmaking capacity, direct reduced iron route, operating","ttpa","Industry","Sum of current capacity over Indian direct reduced iron furnaces, which reduce iron ore without melting it, with status operating or operating pre-retirement, as at the June 2026 (V1) release. Covers 222 units, every one of which is located by joining the unit workbook to the plant-level workbook on GEM plant ID; the unit sheets carry no state of their own. This measures IRONMAKING and is a different quantity from the steelmaking capacity published from the same tracker, which is neither corrected toward this nor derived from it. No year-by-year series is published even though the workbook records a start year for each unit: the capacity figure is a present-day rating, the oldest operating unit dates from 1990, and a unit's rating can change over its life while the workbook keeps only the current figure, with the start year missing for a fifth of operating capacity."
